License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1255684,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EYE ADOM RESTAURANT INC,EYE ADOM AFRICA,1263B EDWARD L GRANT HWY,CROMWELL & JEROME AVE,BRONX,NY,10452,857329,08/26/2011,02/02/2016,07/31/2017,40.8379521844,-73.9223737739,"(40.8379521844, -73.9223737739)"
1255699,LIQUOR STORE,222,L,New York,1,BRONX,T & Y WINE & SPIRITS INC,,3617 KINGSBRIDGE AVE,,BRONX,NY,10463,835641,08/02/2011,08/01/2014,07/31/2017,40.8841053031,-73.9023551418,"(40.8841053031, -73.9023551418)"
1255874,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TIN MARIN BAR & LOUNGE INC,TIN MARIN BAR & LOUNGE,3708 RIVERDALE AVE,,BRONX,NY,10463,857589,03/05/2012,03/01/2016,02/28/2018,40.8867146808,-73.9069682471,"(40.8867146808, -73.9069682471)"
1255885,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BALLINAS & VASQUEZ CORP,METATE,3515 JOHNSON AVE,,BRONX,NY,10463,851202,08/30/2011,08/04/2015,07/31/2017,40.8858334567,-73.9099983955,"(40.8858334567, -73.9099983955)"
1256823,LIQUOR STORE,222,L,New York,1,BRONX,CHRIS ANTIQUES FURNITURE INC,CHRIS LIQUOR,4586 3RD AVE,,BRONX,NY,10458,862777,12/08/2011,12/10/2014,11/30/2017,40.8557453504,-73.8906687346,"(40.8557453504, -73.8906687346)"
1256990,LIQUOR STORE,222,L,New York,1,BRONX,WZ LIQUOR & WINE INC,,2442 WILLIAMSBRIDGE RD,,BRONX,NY,10469,862310,01/23/2012,01/01/2015,12/31/2017,40.861692223,-73.8575732786,"(40.861692223, -73.8575732786)"
1257048,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL PATRON NIGHT CLUB CABARET RESTAURANT INC,,1465 JEROME AVE,,BRONX,NY,10452,858907,04/02/2012,04/01/2016,03/31/2018,40.8412394067,-73.9169263327,"(40.8412394067, -73.9169263327)"
1257346,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SIDE STREET LOUNGE INC,SIDE STREET LOUNGE,1330 BLONDELL AVE,,BRONX,NY,10461,854082,10/27/2011,10/01/2015,09/30/2017,40.8415688082,-73.8418292931,"(40.8415688082, -73.8418292931)"
1257632,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA PERLA MIXTECA RESTAURANT CORP,ESTRELLITA POBLANA II,2819 WHITE PLAINS RD,,BRONX,NY,10467,855302,11/09/2011,11/01/2015,10/31/2017,40.8668375079,-73.8673960714,"(40.8668375079, -73.8673960714)"
1258149,LIQUOR STORE,222,L,New York,1,BRONX,231 SPIRITS INC,RIVERDALE LIQUORS,207 W 231ST ST,,BRONX,NY,10463,861783,11/30/2011,11/01/2014,10/31/2017,40.8790247015,-73.9050594041,"(40.8790247015, -73.9050594041)"
1258381,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BABALU LLC,MAMAJUANA CAFE,3233 E TREMONT AVE,,BRONX,NY,10461,856060,12/28/2011,12/01/2015,11/30/2017,40.83584834,-73.8332604728,"(40.83584834, -73.8332604728)"
1258497,LIQUOR STORE,222,L,New York,1,BRONX,R & D WINE AND LIQUOR CORP,,944 ALDUS ST,,BRONX,NY,10459,856566,04/04/2012,04/01/2015,03/31/2018,40.8231120022,-73.8908591489,"(40.8231120022, -73.8908591489)"
1258725,LIQUOR STORE,222,L,New York,1,BRONX,WILLOW WINE & LIQUOR INC,WILLOW WINES LIQUORS,2461 E TREMONT AVE,,BRONX,NY,10461,862290,01/10/2012,01/01/2015,12/31/2017,40.8427111432,-73.8511934485,"(40.8427111432, -73.8511934485)"
1258996,LIQUOR STORE,222,L,New York,1,BRONX,ONE NIGHT LIQUOR STORE CORP,,1229 FRANKLIN AVE - STORE #4,,BRONX,NY,10456,872674,10/17/2012,10/01/2015,09/30/2018,40.8306754069,-73.9032191016,"(40.8306754069, -73.9032191016)"
1259128,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,GONZALEZ-JIMENEZ CORP,ESTRELLITA POBLANA A #1,2227 2231 WESTCHESTER AVE,,BRONX,NY,10402,855835,01/18/2012,01/01/2016,12/31/2017,40.8343590761,-73.8508117631,"(40.8343590761, -73.8508117631)"
1259162,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,ADOLFO JR CORP,MI PALENQUE RESTAURANT,524 BROOK AVE,,BRONX,NY,10455,855514,01/17/2012,01/01/2016,12/31/2017,40.8145780332,-73.9151895217,"(40.8145780332, -73.9151895217)"
1259212,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BANI RESTAURANT LLC,BANI RESTAURANT,1430 WATSON AVE,,BRONX,NY,10472,856503,01/06/2012,01/04/2016,12/31/2017,40.8255049708,-73.8824895731,"(40.8255049708, -73.8824895731)"
1259242,LIQUOR STORE,222,L,New York,1,BRONX,BEST PRICE LIQUOR INC,,995 WESTCHESTER AVE,,BRONX,NY,10459,863085,03/14/2012,03/01/2015,02/28/2018,40.8235255223,-73.8941285987,"(40.8235255223, -73.8941285987)"
1259717,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,761 ESSENCE INC,,761 BURKE AVE,SHIMSINCORPORATED@YAHOO.COM,BRONX,NY,10467,860984,07/24/2012,07/01/2016,06/30/2018,40.8713947276,-73.8645481556,"(40.8713947276, -73.8645481556)"
1259881,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,"CLOCK CAFE LLC, THE",CHARLIE'S BAR & KITCHEN,112 LINCOLN AVE,,BRONX,NY,10454,857116,02/10/2012,02/01/2016,01/31/2018,40.807883521,-73.9294160101,"(40.807883521, -73.9294160101)"
1259941,LIQUOR STORE,222,L,New York,1,BRONX,A & G LIQUOR CORP,,678 CASTLE HILL AVE,,BRONX,NY,10473,867236,05/11/2012,05/01/2015,04/30/2018,40.8206469091,-73.8484057453,"(40.8206469091, -73.8484057453)"
1260066,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,A & M LOUNGE REST INC,SABANA LOUNGE & RESTAURANT,1460 WESTCHESTER AVE,,BRONX,NY,10472,860319,06/05/2012,06/01/2016,05/31/2018,40.8283159731,-73.8819427444,"(40.8283159731, -73.8819427444)"
1260183,LIQUOR STORE,222,L,New York,1,BRONX,BRONX LIQUOR & WINE INC,HUB,300 E 149TH ST,,BRONX,NY,10451,883839,09/30/2013,09/01/2016,08/31/2019,40.8170327166,-73.9215785874,"(40.8170327166, -73.9215785874)"
1260403,LIQUOR STORE,222,L,New York,1,BRONX,LIQUOR KING MART INC,,801C SOUNDVIEW AVE,,BRONX,NY,10473,867831,06/21/2012,06/01/2015,05/31/2018,40.821034331,-73.8657417479,"(40.821034331, -73.8657417479)"
1260407,LIQUOR STORE,222,L,New York,1,BRONX,1540 WATSON AVE LIQUOR INC,,1585 WATSON AVE,,BRONX,NY,10472,870120,10/01/2012,08/01/2015,07/31/2018,40.8264300092,-73.8755884633,"(40.8264300092, -73.8755884633)"
1260773,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BREWSKIS BAR & GRILL INC,,3718 E TREMONT AVE,,BRONX,NY,10465,858645,04/27/2012,04/01/2016,03/31/2018,40.8267429308,-73.8222987596,"(40.8267429308, -73.8222987596)"
1260830,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA ROLA RESTAURANT INC,,400 E 198TH ST,,BRONX,NY,10458,859981,06/04/2012,06/01/2016,05/31/2018,40.8664811115,-73.8863477065,"(40.8664811115, -73.8863477065)"
1260975,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LUKE'S LOUNGE INC,CAFE SERATA,1808 HONE AVE,,BRONX,NY,10461,858141,03/16/2012,03/01/2016,02/28/2018,40.8490339198,-73.8548288079,"(40.8490339198, -73.8548288079)"
1261501,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BANBRO INC,ALFIE'S PLACE,3037 E 177TH ST,,BRONX,NY,10465,860660,06/07/2012,06/01/2016,05/31/2018,40.8229411836,-73.8196676828,"(40.8229411836, -73.8196676828)"
1261671,LIQUOR STORE,222,L,New York,1,BRONX,A TO Z LIQUORS AND WINES INC,,835 E 152ND ST - STORE 5,STORE 5,BRONX,NY,10455,869768,06/25/2012,06/10/2015,05/31/2018,40.8152612919,-73.9043559055,"(40.8152612919, -73.9043559055)"
1261844,LIQUOR STORE,222,L,New York,1,BRONX,COUNTRY CLUB WINE AND LIQUORS INC,,3464 3466 EAST TREMONT AVE,,BRONX,NY,10465,871507,08/17/2012,08/01/2015,07/31/2018,40.8317940429,-73.8272052303,"(40.8317940429, -73.8272052303)"
1262816,LIQUOR STORE,222,L,New York,1,BRONX,REYES WINE & LIQUORS INC,,53-55 E 183RD ST,,BRONX,NY,10453,886095,06/12/2012,11/15/2016,05/31/2018,40.8583145459,-73.9025382366,"(40.8583145459, -73.9025382366)"
1262830,LIQUOR STORE,222,L,New York,1,BRONX,AB SPIRITS CORP,,222A WILLIS AVE,,BRONX,NY,10454,871719,08/02/2012,08/01/2015,07/31/2018,40.8084513003,-73.9233632256,"(40.8084513003, -73.9233632256)"
1263051,LIQUOR STORE,222,L,New York,1,BRONX,SABANA SPORT LIQUORS CORP,,1677 WESTCHESTER AVE,,BRONX,NY,10472,872208,09/18/2012,09/01/2015,08/31/2018,40.8302367104,-73.8719068112,"(40.8302367104, -73.8719068112)"
1263813,LIQUOR STORE,222,L,New York,1,BRONX,JERANAMO INC,CORKMASTER WINES & SPIRITS,5650 MOSHOLU AVE,,BRONX,NY,10471,871336,08/30/2012,08/01/2015,07/31/2018,40.9049721508,-73.9018357613,"(40.9049721508, -73.9018357613)"
1263818,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,FANTASY BAR AND RESTAURANT CORP,,23 E TREMONT AVE,STORE 4,BRONX,NY,10453,840710,08/01/2012,08/01/2016,07/31/2018,40.8516470219,-73.9087928859,"(40.8516470219, -73.9087928859)"
1263976,LIQUOR STORE,222,L,New York,1,BRONX,CABANA LIQUORS STORE INC,CABANA LIQUORS,2095 GRAND CONCOURSE,STORE #4,BRONX,NY,10453,873690,11/14/2012,11/01/2015,10/31/2018,40.8538148954,-73.9027088733,"(40.8538148954, -73.9027088733)"
1265210,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MO APPLE LLC,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,65 METROPOLITAN OVAL,,BRONX,NY,10462,866749,10/26/2012,10/01/2016,09/30/2018,40.8376016208,-73.8605592702,"(40.8376016208, -73.8605592702)"
1265541,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BLUE MEDITERRANEAN RESTAURANT LLC,,2356 ARTHUR AVE,,BRONX,NY,10458,852746,09/09/2013,09/01/2015,08/31/2017,40.8545190303,-73.8884353468,"(40.8545190303, -73.8884353468)"
1266194,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LARIMAR RESTAURANT & BAR INC,LARIMAR RESTAURANT,213 15 E 170TH ST,,BRONX,NY,10456,868876,12/04/2012,12/01/2016,11/30/2018,40.8386009116,-73.9129464981,"(40.8386009116, -73.9129464981)"
1266370,LIQUOR STORE,222,L,New York,1,BRONX,GRAND CONCOURSE LIQUORS INC,,2407 GRAND CONCOURSE,,BRONX,NY,10468,876198,03/14/2013,03/01/2016,02/28/2019,40.8597759233,-73.898815098,"(40.8597759233, -73.898815098)"
1266440,LIQUOR STORE,222,L,New York,1,BRONX,PELHAM LIQUORS CORP,,2248 WHITE PLAINS RD,,BRONX,NY,10467,874356,12/04/2012,12/01/2015,11/30/2018,40.8584970567,-73.8675898286,"(40.8584970567, -73.8675898286)"
1266758,LIQUOR STORE,222,L,New York,1,BRONX,FAMILY LICOR STORE INC,,2 E 167TH ST,STORE #2,BRONX,NY,10452,875550,02/11/2013,02/01/2016,01/31/2019,40.8360865167,-73.9223455245,"(40.8360865167, -73.9223455245)"
1267089,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA ESPANOLA WAY INC,TEQUILA & MEZCAL,1292 WESTCHESTER AVE,,BRONX,NY,10459,866217,10/03/2013,10/07/2016,09/30/2017,40.8273925327,-73.8866166119,"(40.8273925327, -73.8866166119)"
1267174,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,OLIVIA'S RESTAURANT & LOUNGE INC,,1854 WESTCHESTER AVE,,BRONX,NY,10472,859190,04/29/2014,04/01/2016,03/31/2018,40.8325476029,-73.8638679094,"(40.8325476029, -73.8638679094)"
1267219,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,900 PARK CORP,,900 902 MORRIS PARK AVE,,BRONX,NY,10462,849253,05/31/2013,05/01/2015,04/30/2017,40.8466940861,-73.8593568108,"(40.8466940861, -73.8593568108)"
1267380,LIQUOR STORE,222,L,New York,1,BRONX,ANDY'S WINE & LIQUOR INC,,4241 WHITE PLAINS RD,,BRONX,NY,10466,878326,06/21/2013,06/01/2016,05/31/2019,40.8945750569,-73.8568331348,"(40.8945750569, -73.8568331348)"
1267528,LIQUOR STORE,222,L,New York,1,BRONX,485 ALI FAMILY LIQUORS INC,,485 E 180TH ST,STORE 6,BRONX,NY,10457,877525,05/09/2013,05/01/2016,04/30/2019,40.8513857812,-73.8953684009,"(40.8513857812, -73.8953684009)"
1267619,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,BAY PLAZA ENTERPRISES LLC,DALLAS BBQ,2160 BARTOW AVE,BAY PLAZA SHOPPING CENTER,BRONX,NY,10475,868312,01/11/2013,12/01/2016,11/30/2018,40.8692317229,-73.8247278601,"(40.8692317229, -73.8247278601)"
1267787,LIQUOR STORE,222,L,New York,1,BRONX,EL PROGRESO WINES & LIQUORS CORP,,1440 NOBLE AVE,,BRONX,NY,10472,880626,07/23/2013,07/01/2016,06/30/2019,40.8351100832,-73.8709949343,"(40.8351100832, -73.8709949343)"
1268196,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EMERALD LIQUOR INC,THE TOMBSTONE SALOON,119 E 233RD ST,,BRONX,NY,10470,846767,06/19/2013,06/01/2015,05/31/2017,40.8963206925,-73.8720328436,"(40.8963206925, -73.8720328436)"
1268490,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,JEMI LLC,DON COQUI,565 CITY ISLAND AVE,,BRONX,NY,10464,849085,05/08/2013,05/01/2015,04/30/2017,40.8527697232,-73.7896109656,"(40.8527697232, -73.7896109656)"
1269282,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,VALBONA RESTAURANT CORP,,3167 VILLA AVE,,BRONX,NY,10468,850840,06/25/2013,07/09/2015,05/31/2017,40.8761503667,-73.8870664478,"(40.8761503667, -73.8870664478)"
1269314,LIQUOR STORE,222,L,New York,1,BRONX,RIVERDALE VINTNER LTD,,554 W 235TH ST,,BRONX,NY,10463,874599,07/09/2013,12/07/2015,11/30/2018,40.8856152493,-73.9097563092,"(40.8856152493, -73.9097563092)"
1269423,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,4042 EAST TREMONT CAFE CORP,TOSCA CAFE,4038 4042 E TREMONT AVE,,BRONX,NY,10465,849311,05/06/2013,05/01/2015,04/30/2017,40.8195464049,-73.8175228544,"(40.8195464049, -73.8175228544)"
1269552,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,AGRON RESTAURANT CORP,ZYMI,726 ASTOR AVE,,BRONX,NY,10467,849255,05/31/2013,05/01/2015,04/30/2017,40.8595332295,-73.8664269117,"(40.8595332295, -73.8664269117)"
1269585,LIQUOR STORE,222,L,New York,1,BRONX,AAA & GP LIQUORS CORP,,3960 BRONXWOOD AVE,,BRONX,NY,10466,876966,04/15/2013,04/01/2016,03/31/2019,40.8856787558,-73.8548792703,"(40.8856787558, -73.8548792703)"
1269736,LIQUOR STORE,222,L,New York,1,BRONX,J & M LIQUORS STORE INC,,293 E 170TH ST,,BRONX,NY,10456,877966,05/20/2013,05/01/2016,04/30/2019,40.8375749699,-73.9107837979,"(40.8375749699, -73.9107837979)"
1269903,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,JOHN ANGELO CORP,ENZO'S RESTAURANT,1998 WILLIAMSBRIDGE RD,,BRONX,NY,10461,849775,07/11/2013,07/01/2015,06/30/2017,40.8541428057,-73.8543596747,"(40.8541428057, -73.8543596747)"
1269941,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CABO RESTAURANT LLC,CABO RESTAURANT,3764 E TREMONT AVE,,BRONX,NY,10465,860553,05/21/2014,05/12/2016,04/30/2018,40.8257876417,-73.8212022434,"(40.8257876417, -73.8212022434)"
1270123,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,JAVIER CARABALLO,,214 WILLIS AVE,,BRONX,NY,10454,850189,07/23/2013,07/01/2015,06/30/2017,40.8082665026,-73.9234967745,"(40.8082665026, -73.9234967745)"
1270262,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LA ROOSE CATERING HALL INC,,4848 WHITE PLAINS RD,,BRONX,NY,10470,847358,08/28/2013,08/01/2015,07/31/2017,40.9065202531,-73.8488804186,"(40.9065202531, -73.8488804186)"
1270529,LIQUOR STORE,222,L,New York,1,BRONX,HOMER LIQUOR II INC,,4029 LACONIA AVE,,BRONX,NY,10466,881411,09/19/2013,09/01/2016,08/31/2019,40.8858089336,-73.8482234692,"(40.8858089336, -73.8482234692)"
1270650,LIQUOR STORE,222,L,New York,1,BRONX,PROSPEROUS WINES & LIQUORS INC,,4727 WHITE PLAINS RD,,BRONX,NY,10470,883610,09/19/2013,09/01/2016,08/31/2019,40.9041137128,-73.8498448158,"(40.9041137128, -73.8498448158)"
1270721,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TWOSHA'S INC,,2576 3RD AVE,,BRONX,NY,10454,850726,07/09/2013,07/06/2015,06/30/2017,40.8116015271,-73.9262094453,"(40.8116015271, -73.9262094453)"
1270729,LIQUOR STORE,222,L,New York,1,BRONX,HERRERA'S LIQUOR STORE CORP,HERRERA'S LIQUOR STORE,2300 CROTONA AVE,STORE 4,BRONX,NY,10468,884998,10/04/2013,10/05/2016,09/30/2019,40.8520113607,-73.8845015236,"(40.8520113607, -73.8845015236)"
1270813,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,3758 E TREMONT REST CORP,VAPOR LOUNGE,3758 E TREMONT AVE,,BRONX,NY,10465,857146,02/19/2014,02/01/2016,01/31/2018,40.8259353873,-73.8213716102,"(40.8259353873, -73.8213716102)"
1270921,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,WISH 37 INC,,37 BRUCKNER BLV,,BRONX,NY,10454,850411,07/16/2013,07/01/2015,06/30/2017,40.8068638743,-73.9275424859,"(40.8068638743, -73.9275424859)"
1271130,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MALESIA CAFE INC,,2423 ARTHUR AVE,,BRONX,NY,10458,847027,07/19/2013,07/15/2015,06/30/2017,40.8560911785,-73.8871235602,"(40.8560911785, -73.8871235602)"
1271383,LIQUOR STORE,222,L,New York,1,BRONX,OVALLES LIQUOR STORE CORP,,1568 WHITE PLAINS RD,,BRONX,NY,10462,884792,10/16/2013,10/01/2016,09/30/2019,40.8399197459,-73.8638949243,"(40.8399197459, -73.8638949243)"
1271648,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,SMEIRELES INC,SKYLINE BAR & LOUNGE,1511 WILKINSON AVE,,BRONX,NY,10461,852949,10/03/2013,10/01/2015,09/30/2017,40.8527946283,-73.8427280185,"(40.8527946283, -73.8427280185)"
1271724,LIQUOR STORE,222,L,New York,1,BRONX,GUADALUPE WINE AND LIQUOR STORE INC,,853 E TREMONT AVE,,BRONX,NY,10460,884969,11/25/2013,11/01/2016,10/31/2019,40.8432443691,-73.8867323764,"(40.8432443691, -73.8867323764)"
1271759,LIQUOR STORE,222,L,New York,1,BRONX,SO MELO LIQUORS INC,,220 SOUNDVIEW AVE,,BRONX,NY,10473,884719,10/29/2013,10/01/2016,09/30/2019,40.8100006393,-73.855468076,"(40.8100006393, -73.855468076)"
1271989,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL MOLCAJETE RESTAURANT CORP,EL MOLCAJETE RESTAURANT,1506 1508 WESTCHESTER AVE,,BRONX,NY,10472,853910,10/15/2013,10/01/2015,09/30/2017,40.828498581,-73.8796781452,"(40.828498581, -73.8796781452)"
1272025,LIQUOR STORE,222,L,New York,1,BRONX,SAJOMA LIQUOR INC,,1350 EDWARD L GRANT HGWY,,BRONX,NY,10452,884787,10/15/2013,10/01/2016,09/30/2019,40.8405566817,-73.9215490902,"(40.8405566817, -73.9215490902)"
1272275,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,4352 KATONAH AVE INC,THE AVENUE,4352 KATONAH AVE,STORES 2-3,BRONX,NY,10470,856004,12/06/2013,12/01/2015,11/30/2017,40.9004130554,-73.8677150633,"(40.9004130554, -73.8677150633)"
1272340,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,3713 RIVERDALE REST CORP,BLACKSTONE BAR & GRILL,3713 RIVERDALE AVE,,BRONX,NY,10463,858743,04/29/2014,04/01/2016,03/31/2018,40.8874630415,-73.9072000069,"(40.8874630415, -73.9072000069)"
1272526,LIQUOR STORE,222,L,New York,1,BRONX,W E T CORP,WET WINE & LIQUOR,3445 BAYCHESTER AVE,,BRONX,NY,10475,887001,12/05/2013,12/01/2016,11/30/2019,40.8800234518,-73.8382633456,"(40.8800234518, -73.8382633456)"
1272650,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL VALLE TIPICO RESTAURANT II CORP,,849 CASTLE HILL AVE,,BRONX,NY,10473,851216,10/31/2013,10/01/2015,09/30/2017,40.824471117,-73.8492952886,"(40.824471117, -73.8492952886)"
1272785,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL VIEJO GRAN CAFE CORP,,498 EAST 138TH ST,,BRONX,NY,10454,855373,12/06/2013,12/01/2015,11/30/2017,40.8077096207,-73.9195881658,"(40.8077096207, -73.9195881658)"
1272887,LIQUOR STORE,222,L,New York,1,BRONX,J & W LIQUORS INC,,1843 GRAND CONCOURSE,,BRONX,NY,10453,887047,10/09/2013,11/28/2016,09/30/2019,40.8480376724,-73.9075241677,"(40.8480376724, -73.9075241677)"
1273276,LIQUOR STORE,222,L,New York,1,BRONX,BEVMART WINE & LIQUOR LLC,WINE&LIQUOR SUPERSTORE/WINEANDLIQUORSUPERSTORE.COM,815 HUTCHINSON RIVER PKWY,SPACE B,BRONX,NY,10465,835271,10/16/2014,10/16/2014,09/30/2017,40.8231556954,-73.8364072556,"(40.8231556954, -73.8364072556)"
1273324,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TRIO LOUNGE & CAFE CORP,718 LOUNGE & TAPAS BAR,400 E 180TH ST,,BRONX,NY,10457,853455,10/17/2013,10/01/2015,09/30/2017,40.8522968778,-73.8980735498,"(40.8522968778, -73.8980735498)"
1273362,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,EL PORTON BAR & RESTAURANT NO 2 CORP,,576 SOUTHERN BLVD,,BRONX,NY,10455,853935,10/15/2013,10/01/2015,09/30/2017,40.8124505479,-73.9030368296,"(40.8124505479, -73.9030368296)"
1273451,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MD CAFE LOUNGE CORP,TEQUILAZ RESTAURANT LOUNGE,3489 JEROME AVE,,BRONX,NY,10467,840695,01/24/2014,08/08/2016,12/31/2017,40.8826038706,-73.8814715184,"(40.8826038706, -73.8814715184)"
1273470,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,THE BRONX BAR AND GRILL LLC,,1 BRUCKNER BLVD,,BRONX,NY,10454,854904,11/08/2013,11/01/2015,10/31/2017,40.808257019,-73.9306176563,"(40.808257019, -73.9306176563)"
1273705,LIQUOR STORE,222,L,New York,1,BRONX,WINES OF THE WORLD MART CORP,,45 BRUCKNER BLVD,,BRONX,NY,10454,854179,05/20/2015,05/20/2015,04/30/2018,40.806609378,-73.9269381537,"(40.806609378, -73.9269381537)"
1273755,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MIKECON LLC,KELLY RYAN'S,5790 MOSHOLU AVE,,BRONX,NY,10471,860462,01/23/2014,05/10/2016,12/31/2017,40.9054213122,-73.8976624413,"(40.9054213122, -73.8976624413)"
1274037,LIQUOR STORE,222,L,New York,1,BRONX,ALLERTON BARNES CORPORATION,LIQUOR BARN,802 ALLERTON AVE,,BRONX,NY,10467,885759,11/27/2013,11/01/2016,10/31/2019,40.8655105476,-73.8634107043,"(40.8655105476, -73.8634107043)"
1274363,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,NUEVA SABROSURA INC,SABROSURA 2 RESTAURANT,1806 WESTCHESTER AVE,,BRONX,NY,10472,855215,12/05/2013,12/01/2015,11/30/2017,40.8319226159,-73.8660443134,"(40.8319226159, -73.8660443134)"
1274742,LIQUOR STORE,222,L,New York,1,BRONX,241 LIQUOR STORE INC,PAYLESS WINE & LIQUOR,4700A WHITE PLAINS RD,,BRONX,NY,10470,886801,12/16/2013,12/01/2016,11/30/2019,40.9034962654,-73.8503147573,"(40.9034962654, -73.8503147573)"
1275053,LIQUOR STORE,222,L,New York,1,BRONX,F&M LIQUOR STORE INC,,1671 METROPOLITAN AVE,,BRONX,NY,10462,885704,12/20/2013,12/01/2016,11/30/2019,40.8405816714,-73.8550596206,"(40.8405816714, -73.8550596206)"
1275356,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TRANQUILITY BAR & LOUNGE INC,,3511 BOSTON RD,STORE FRONT #4,BRONX,NY,10469,859488,04/15/2014,04/01/2016,03/31/2018,40.8772442696,-73.845911105,"(40.8772442696, -73.845911105)"
1275397,LIQUOR STORE,222,L,New York,1,BRONX,WEST FARM LIQUOR INC,,1006 1008 E TREMONT AVE,,BRONX,NY,10460,883920,01/31/2014,09/01/2016,08/31/2019,40.8405562525,-73.8813072478,"(40.8405562525, -73.8813072478)"
1275649,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,AFRICAN LAST STOP INC,AFRICAN LAST STOP,1300 E 222ND ST,,BRONX,NY,10469,856836,02/11/2014,02/01/2016,01/31/2018,40.8790671917,-73.8431750257,"(40.8790671917, -73.8431750257)"
1275652,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,FIVE KIDS FIVE INC,RIVERDALE CITY GRILL,3541 RIVERDALE AVE,,BRONX,NY,10463,865775,09/26/2014,09/01/2016,08/31/2018,40.8863203563,-73.9069753851,"(40.8863203563, -73.9069753851)"
1275870,LIQUOR STORE,222,L,New York,1,BRONX,BRONX CHEERS LTD,BRONX CHEERS,1194 MORRIS PARK AVE,,BRONX,NY,10461,853949,03/27/2015,03/27/2015,02/28/2018,40.851055733,-73.848848221,"(40.851055733, -73.848848221)"
1276032,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,KAI ASIAN BISTRO LLC,KAI SUSHI ASIAN FUSION,1475 WILLIAMSBRIDGE RD,,BRONX,NY,10461,858512,03/21/2014,03/08/2016,02/28/2018,40.843787543,-73.8455530624,"(40.843787543, -73.8455530624)"
1276503,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,TN APPLE LLC,APPLEBEES NEIGHBHORHOOD GRILL & BAR,815 HUTCHINSON RIVER PKW,UNIT 2,BRONX,NY,10465,863509,07/31/2014,07/01/2016,06/30/2018,40.82316,-73.83648,"(40.82316, -73.83648)"
